user_id,signup_date,state,device_brand,age_group,kyc_completed,bank_linked,first_txn_date,cashback_given,churn_date
U00001,2022-08-02,andhra-pradesh,Xiaomi,18-25,1,0,,0,
U00002,2019-08-17,gujarat,Oppo,26-35,0,0,,0,
U00003,2019-02-21,tamil-nadu,Realme,18-25,1,1,2019-02-26,1,
U00004,2020-07-17,gujarat,Realme,26-35,1,0,,0,
U00005,2020-05-16,tamil-nadu,Apple,18-25,1,1,2020-05-17,0,
U00006,2020-04-02,west-bengal,Others,18-25,1,1,2020-04-26,0,
U00007,2019-10-13,kerala,Others,26-35,1,0,,1,
U00008,2019-07-29,bihar,Samsung,36-45,0,0,,0,
U00009,2022-10-17,tamil-nadu,Vivo,26-35,1,1,2022-11-08,1,
U00010,2022-01-21,gujarat,Vivo,18-25,1,1,2022-02-14,1,
U00011,2019-06-28,maharashtra,Oppo,18-25,1,1,2019-06-30,0,
U00012,2022-04-24,haryana,Samsung,18-25,0,0,,0,
U00013,2021-05-14,karnataka,Realme,18-25,0,0,,0,
U00014,2019-03-07,rajasthan,Xiaomi,26-35,1,1,2019-03-08,0,
U00015,2019-03-03,uttar-pradesh,Others,18-25,1,0,,1,
U00016,2019-07-11,madhya-pradesh,Xiaomi,26-35,1,1,2019-08-05,0,2019-09-06
U00017,2020-03-23,andhra-pradesh,Realme,36-45,1,1,2020-03-30,1,
U00018,2020-04-21,tamil-nadu,Samsung,36-45,1,1,2020-04-25,0,
U00019,2021-10-31,gujarat,Oppo,26-35,1,1,2021-11-03,0,2021-12-25
U00020,2022-05-17,uttar-pradesh,Samsung,26-35,1,1,2022-05-23,1,
U00021,2019-02-24,bihar,Xiaomi,36-45,1,0,,1,
U00022,2022-02-23,karnataka,OnePlus,26-35,1,1,2022-02-24,0,2022-04-14
U00023,2020-02-12,west-bengal,Vivo,46-60,1,1,2020-03-11,0,2020-04-12
U00024,2022-08-23,haryana,Samsung,26-35,1,0,,0,
U00025,2022-12-07,maharashtra,Oppo,18-25,1,1,2022-12-12,1,2023-01-20
U00026,2022-01-21,tamil-nadu,Samsung,18-25,0,0,,0,
U00027,2021-05-09,uttar-pradesh,Xiaomi,46-60,1,0,,1,
U00028,2020-03-27,odisha,Realme,18-25,1,0,,0,
U00029,2021-07-08,tamil-nadu,Others,18-25,1,1,2021-07-09,1,2021-09-02
U00030,2022-04-21,uttar-pradesh,Others,18-25,1,1,2022-05-05,1,
U00031,2020-07-23,madhya-pradesh,Motorola,26-35,1,0,,0,
U00032,2019-01-14,andhra-pradesh,Realme,26-35,1,1,2019-01-15,1,
U00033,2019-11-23,kerala,Xiaomi,36-45,1,1,2019-11-24,0,2020-01-21
